"agency","count_all_article_instances","count_unique_articles","count_unique_biodata_resources","associated_PMIDs","associated_biodata_resources"
"EU/EFPIA",1,1,1,"30601939","UbiHub"
"São Paulo Research Foundation-FAPESP",1,1,1,"30601939","UbiHub"
"The Wellcome",1,1,1,"30601939","UbiHub"
"ULTRA-DD",1,1,1,"30601939","UbiHub"
"Boehringer Ingelheim",1,1,1,"30601939","UbiHub"
"Takeda",1,1,1,"30601939","UbiHub"
"Bayer Pharma AG",1,1,1,"30601939","UbiHub"
"Janssen",1,1,1,"30601939","UbiHub"
"AbbVie",1,1,1,"30601939","UbiHub"
"Eshelman Institute for Innovation",1,1,1,"30601939","UbiHub"
"Novartis Pharma AG",1,1,1,"30601939","UbiHub"
"Ontario Ministry of Research, Innovation and Science (MRIS)",1,1,1,"30601939","UbiHub"
"European Union’s Horizon 2020",2,1,1,"31263870","ValTrendsDB"
"CEITEC 2020",1,1,1,"31263870","ValTrendsDB"
"Grant Agency of Masaryk University",1,1,1,"31263870","ValTrendsDB"
"Ministry of Education, Youth and Sports of the Czech Republic",2,2,2,"31263870, 29533231","ValTrendsDB, wwPDB"
"Tata Consultancy Services",1,1,1,"31283070","VIPdb"
"Research Flanders Post-doctoral Fellowship",1,1,1,"31504823","WALTZ-DB"
"CAPES/MCTI/CNPq",1,1,1,"31512145","ZIKAVID"
"University of Nottingham",1,1,1,"31598695","MirGeneDB"
"NASA-Ames",1,1,1,"31598695","MirGeneDB"
"Southern and Eastern Norway Regional Health Authority",2,1,1,"31598695","MirGeneDB"
"Dartmouth College",1,1,1,"31598695","MirGeneDB"
"Norwegian Research Council",3,2,2,"31598695, 31701148","MirGeneDB, JASPAR"
"Fondo Social Europeo",2,2,2,"31647096, 30418610","proGenomes2, eggNOG"
"Heidelberg Center for Human Bioinformatics",1,1,1,"31647096","proGenomes2"
"Consejería de Educación, Juventud y Deporte de la Comunidad de Madrid",1,1,1,"31647096","proGenomes2"
"ETH Zürich",1,1,1,"31647096","proGenomes2"
"Fudan University",1,1,1,"31647096","proGenomes2"
"Helmut Horten Foundation",1,1,1,"31647096","proGenomes2"
"ZHANGJIANG LAB",1,1,1,"31647096","proGenomes2"
"Biotechnology and Biosciences Research Council",4,2,2,"31696235, 30357350","MGnify, Pfam"
"Russian Fund for Basic Research",1,1,1,"31696235","MGnify"
"ELIXIR",3,3,3,"31696235, 33156333, 31722421","MGnify, InterPro, ENA"
"Simons Foundation",1,1,1,"31705629","VariCarta"
"National Board of Science and Technology of México",1,1,1,"32055857","SymGenDB"
"Ministry of Science and Technology of the People&amp;apos;s Republic of China",1,1,1,"32221380","WeiBI"
"Hunan Provincial Natural Science Foundation of China",1,1,1,"32349124","VirusCircBase"
"CSIR",1,1,1,"32512488","TTRMDB"
"BMGF",1,1,1,"32548865","UK Immunological Toolbox"
"Core Capability Grant awarded to the Roslin Institute.",1,1,1,"32548865","UK Immunological Toolbox"
"SG RESAS Strategic Research Programme, UKRI-BBSRC/SG/BioRad",1,1,1,"32548865","UK Immunological Toolbox"
"H2020 European Institute of Innovation and Technology",1,1,1,"33045721","ViruSurf"
"Science and Technology Program of Sichuan Province",2,1,1,"33068436","tsRBase"
"National Youth Talent Support Program of China",1,1,1,"33094321","VPTMdb"
"Natural Science Fundation for Distinguished Young Scholars of Heilongjiang Province of China",1,1,1,"33095866","VARAdb"
"Alliance Campus Rhodanien",1,1,1,"33174598","UniLectin"
"Labex ARCANE",1,1,1,"33174598","UniLectin"
"ANR",1,1,1,"33174598","UniLectin"
"Key Research Program of Frontier Sciences of the Chinese Academy of Sciences",1,1,1,"33175170","2019nCoVR"
"Genomics Data Center Construction of Chinese Academy of Sciences",2,2,2,"33175170, 33170268","2019nCoVR, GVM"
"Zhangjiang special project of national innovation demonstration zone",1,1,1,"33175170","2019nCoVR"
"China Agriculture Research System",1,1,1,"33181826","WGVD"
"Natural Science Basic Research Plan in Shaanxi Province of China",1,1,1,"33181826","WGVD"
"ZonMw",1,1,1,"33211851","WikiPathways"
"Agropolis Fondation",1,1,1,"33216899","WCSdb"
"National Research Foundation in the Republic of Korea",3,1,1,"33245777","3DIV"
"Institute of Bioorganic Chemistry",1,1,1,"33367605","Virxicon"
"Guizhou Science and Technology Department",3,1,1,"33993461","TUPDB"
"Guizhou University",2,1,1,"33993461","TUPDB"
"Science Foundation Arizona",1,1,1,"22564364","PharmGKB"
"Arizona State University",1,1,1,"22564364","PharmGKB"
"Fulbright International Student Program Russia",1,1,1,"22564364","PharmGKB"
"Foundation For Polish Science",3,1,1,"26141515","mirEX"
"Australian Research Council Discovery",2,1,1,"26434508","ExoCarta"
"U.S. Medical Research and Materiel Command",1,1,1,"27650316","DBSecSys"
"Defense Threat Reduction Agency",1,1,1,"27650316","DBSecSys"
"Parkinson's UK",5,5,4,"27899622, 25378336, 27899567, 30395331, 25348405","UniProt, GOA, GOC, UniProtKB"
"Fundación Científica Asociación Española Contra el Cáncer",1,1,1,"28943872","MAHMI"
"EMBL-EBI core funding",1,1,1,"29533231","wwPDB"
"Priority Project on Infectious Disease Control and Prevention",4,1,1,"29917040","MPD"
"Spanish Ministry of Economy and Competitiveness",1,1,1,"30020414","SKEMPI"
"Interreg POCTEFA",1,1,1,"30020414","SKEMPI"
"Future Leader Fellowship",1,1,1,"30020414","SKEMPI"
"Youth Innovation Promotion Association of Chinese Academy of Science",1,1,1,"30364952","PED"
"Ghent University",1,1,1,"30371849","LNCipedia"
"National Science and Technology Major Project of China",2,1,1,"30380072","LncRNA2Target"
"European Bank",1,1,1,"30407529","BioSamples"
"Russian Foundation for Basic Research",2,2,2,"30445619, 28110602","GTRD, SitEx"
"Genomics Institute Largescale Applied Proteomics",1,1,1,"30476227","BioGRID"
"National Institutes of Health Office of Research Infrastructure",1,1,1,"30476227","BioGRID"
"Shenzhen Basic Research Program",2,1,1,"31161214","WDSPdb"
"ProCare Foundation",1,1,1,"31410491","ABCD"
"Informatization Plan of Chinese Academy of Sciences",1,1,1,"31599330","LSD"
"Ramón y Caja",1,1,1,"31608375","GSAD"
"Dirección General de Investigación Científica y Técnica",3,1,1,"31608375","GSAD"
"Warshel Institute for Computational Biology",2,2,2,"31647101, 33270889","miRTarBase, MethHC"
"Shenzhen Ganghong Group Co.",1,1,1,"31647101","miRTarBase"
"USC-Taiwan Postdoctoral Fellowship",1,1,1,"31665425","TFBSshape"
"Cisco Research Chair in Bioinformatics",1,1,1,"31665441","CARD"
"Cisco Systems",1,1,1,"31665441","CARD"
"Ontario Graduate Scholarship",1,1,1,"31665441","CARD"
"French Ministry of Higher Education and Research",1,1,1,"31665499","ReMap"
"KRIBB",1,1,1,"31680157","ChimerDB"
"Swiss Government",1,1,1,"31680159","EPD"
"Swedish Cancer Society",1,1,1,"32016318","VariBench"
"China-Hebei 100 Scholars Supporting Project to",1,1,1,"32257241","CGDB"
"United States Department of Energy",1,1,1,"32558264","PDB"
"H2020 Marie Sklodowska-Curie Actions",1,1,1,"32786900","BCE"
"Centre for Industrial Technological Development",1,1,1,"32786900","BCE"
"Fundaci?n Bot?n",1,1,1,"32786900","BCE"
"Instituto Nacional de Bioinform?tica",1,1,1,"32786900","BCE"
"Ministerio de Ciencia e Innovaci?n",1,1,1,"32786900","BCE"
"Innovative Translational Agricultural Research Program",1,1,1,"32898258","EXPath"
"Fundação de Amparo ã Pesquisa do Estado de São Paulo",2,1,1,"33021634","NDB"
"USDA Agriculture and Food Research Initiative",1,1,1,"33021634","NDB"
"Robert A. Welch Postdoctoral Fellowship",1,1,1,"33021634","NDB"
"Baden-Württemberg Foundation",1,1,1,"33051671","StreptomeDB"
"Zhengzhou Tobacco Research Institute",3,1,1,"33079992","PLncDB"
"China Association for Science and Technology",1,1,1,"33079992","PLncDB"
"National Research Foundation of Singapore",1,1,1,"33079992","PLncDB"
"NHMRC",1,1,1,"33084874","OGEE"
"The Dutch Cancer Society",2,1,1,"33084889","KLIFS"
"Cancer Center Amsterdam",1,1,1,"33084889","KLIFS"
"Brain Tumour Charity",1,1,1,"33084889","KLIFS"
"The Brain Tumour Charity",1,1,1,"33084889","KLIFS"
"PRACE call 18",1,1,1,"33104797","REDIportal"
"Elixir ITA",1,1,1,"33104797","REDIportal"
"PRACE call 15",1,1,1,"33104797","REDIportal"
"Youth science and technology innovation talent of guangdong TeZhi",1,1,1,"33175131","deepBase"
"Science and Technology New Star in ZhuJiang Guangzhou city",1,1,1,"33175131","deepBase"
"Institute Français de la Bioinformatique",1,1,1,"33206959","IntAct"
"Associazione Italiana per la Ricerca sul Cancro",1,1,1,"33206959","IntAct"
"EMBL core funding, Open Targets",1,1,1,"33206959","IntAct"
"Buchan Foundation",1,1,1,"33206959","IntAct"
"International Business Machines Corporation",1,1,1,"33206959","IntAct"
"Heilongjiang Touyan Innovation",1,1,1,"33219685","Lnc2Cancer"
"Marie Skłodowska-Curie",2,2,2,"33237313, 33237329","RepeatsDB, MobiDB"
"Italian Ministry of University and Research",2,2,2,"33237329, 33305318","MobiDB, PED"
"ANPCyT",1,1,1,"33237329","MobiDB"
"Shenzhen Ganghong Group Co., Ltd.",1,1,1,"33270889","MethHC"
"Independent Research Fund Denmark",1,1,1,"33270898","GPCRdb"
"Alfred Benzon Foundation",1,1,1,"33270898","GPCRdb"
"National Research, Development and Innovation Office, Hungary",1,1,1,"33270898","GPCRdb"
"The Francis Crick Institute",2,2,1,"33290552, 30395331","GOC"
"National Institute for Health Research University College London Hospitals Biomedical Research Centre",1,1,1,"33290552","GOC"
"Alzheimer&apos;s Research UK",1,1,1,"33290552","GOC"
"EMBL",2,2,2,"33290552, 33170273","GOC, Gramene"
"Research Council of Norway",2,2,1,"33290552, 30395331","GOC"
"Alzheimers Research UK",6,4,2,"33290552, 27899567, 30395267, 30395331","GOC, RNAcentral"
"Ensemble Effort for the Knowledge Commons",1,1,1,"33290552","GOC"
"Gene Regulation",1,1,1,"33290552","GOC"
"German Ministry of Science and Education",1,1,1,"33305318","PED"
"Vrije Universiteit Brussel",1,1,1,"33305318","PED"
"National Agency for the Promotion of Science and Technology",1,1,1,"33305318","PED"
"LBC",1,1,1,"33305318","PED"
"Shanghai Post-doctoral Excellence Program",1,1,1,"33306787","MetaADEDB"
"the national key research and development program",1,1,1,"33306800","CEG"
"Warshel Institute of Computational Biology",1,1,1,"33693667","UbiNet"
"Ministerium f?r Kultur und Wissenschaft des Landes Nordrhein-Westfalen",1,1,1,"33724838","UniProtKB"
"Bundesministerium f?r Bildung und Forschung",1,1,1,"33724838","UniProtKB"
"Division of Cancer Epidemiology and Genetics, National Cancer Institute",1,1,1,"33849445","TANTIGEN"
"Office of Dietary Supplements",1,1,1,"34366563","DSLD"
"U.S. Department of Health and Human Services",2,2,2,"34366563, 31851420","DSLD, CDD"
"NHGRI",3,2,2,"34387941, 32128557","PharmGKB, SGD"
"the National Key R&D Program of China",1,1,1,"34556150","AprGPD"
"the National Key R&amp;D Program of China",1,1,1,"34556150","AprGPD"
"the Fundamental Research Funds for the Central Non-profit Research Institution of Chinese Academy of Forestry",1,1,1,"34556150","AprGPD"
"Projects of Youth Technology New Star of Shaanxi Province",1,1,1,"34648133","SMART"
"the Hundred Talents Program of Shaanxi Province of China",1,1,1,"34648133","SMART"
"DST, India",1,1,1,"34965192","piRNAQuest"
"supported by the",1,1,1,"34965192","piRNAQuest"
"Zhejiang Province Public Welfare Technology Application Research Project",2,2,1,"30715167, 33010178","BacWGSTdb"
"NIH NCATS Clinical and Translational Science Center for UNM",1,1,1,"33151287","DrugCentral"
"Botnar Foundation",1,1,1,"31733063","Genome3D"
"Joint Programming Initiative FOODBALL",1,1,1,"31724701","Exposome-Explorer"
"World Health Organization",1,1,1,"31724701","Exposome-Explorer"
"EXPOsOMICS FP7-KBBE-2012",1,1,1,"31724701","Exposome-Explorer"
"International Agency for Research on Cancer",1,1,1,"31724701","Exposome-Explorer"
"The British Council",1,1,1,"33270111","GENCODE"
"University of Bern",1,1,1,"33270111","GENCODE"
"UKRI Innovation Fellowship",1,1,1,"31612961","GWAS Central"
"Health Data Research UK",1,1,1,"31612961","GWAS Central"
"Krembil Foundation",2,1,1,"30407591","IID"
"National Institute of Dental and Craniofacial Research",1,1,1,"30417254","iSyTE"
"the University of the Ryukyus",1,1,1,"29668970","MitoFish"
"the Canon Foundation",1,1,1,"29668970","MitoFish"
"Netherlands Genomic Initiative (NGI)",1,1,1,"26919060","MSeqDR"
"United Mitochondrial Disease Foundation",1,1,1,"26919060","MSeqDR"
"USDA NIFA",2,1,1,"31722416","MEGARes"
"College of Veterinary Medicine and Biomedical Sciences, Texas A and M University",1,1,1,"31722416","MEGARes"
"Genome Canada and Genome British Columbia",1,1,1,"33313828","PSORTdb"
"National Sciences and Engineering Research Council of Canada",1,1,1,"33313828","PSORTdb"
"Frederick Banting and Charles Best Canada Graduate Scholarship",1,1,1,"33313828","PSORTdb"
"German Science Foundation",3,1,1,"31665479","ProteomicsDB"
"SAP",1,1,1,"31665479","ProteomicsDB"
"Grand Challenges Africa programme",1,1,1,"33952332","SANCDB"
"DELGEME - Wellcome Trust",1,1,1,"33952332","SANCDB"
"H3ABioNet - NIH",1,1,1,"33952332","SANCDB"
"Ministry of Science, ICT and Future Planning",1,1,1,"29156309","SMBP"
"National Agency for the Promotion of Science and Technology, Argentina",1,1,1,"31680154","TDR Targets"
"Argentinian Ministry of Science and Technology",1,1,1,"31680154","TDR Targets"
"GlaxoSmithKline Argentina",1,1,1,"31680154","TDR Targets"
"Indo-Argentina Bilateral Cooperation Project",1,1,1,"31680154","TDR Targets"
"Korea Health Industry Development Institute",2,1,1,"28437484","ECG-ViEW"
"Leidos",1,1,1,"31308250","cBioPortal"
"HHS | NIH | National Cancer Institute",3,1,1,"31308250","cBioPortal"
"Silicon Valley Community Foundation",2,1,1,"33221922","UCSC Genome Browser"
"UCSC Baskin Endowed Chair Funds",1,1,1,"33221922","UCSC Genome Browser"
"California Institute for Regenerative Medicine",1,1,1,"33221922","UCSC Genome Browser"
"Center for Information Technology Research in the Interest of Society",1,1,1,"33221922","UCSC Genome Browser"
"University of California Office of the President Emergency",1,1,1,"33221922","UCSC Genome Browser"
"AMED",3,1,1,"33179747","jMorp"
"National Aeronautics and Space Administration",2,2,1,"33080015, 30329036","GeneLab"
"Natural Science Foundation for Young Scholars of China",1,1,1,"33196801","NONCODE"
"National Bioscience Database Center",4,4,4,"33125081, 30462302, 33125071, 33166387","KEGG, MBGD, GlyTouCan, International Nucleotide Sequence Database Collaboration"
"International Science and Technology Center",2,2,1,"33151284, 24888447","DBAASP"
"Department of Energy Joint Genome Institute",1,1,1,"30357420","GOLD"
"Swiss Institute of Bioinformatics SERI",1,1,1,"33196836","OrthoDB"
"Israel Cancer Association",1,1,1,"31747015","ChiTaRS"
"Israel Innovation Authority",1,1,1,"31747015","ChiTaRS"
"UIC",1,1,1,"33245761","MoonProt"
"National Breast Cancer Foundation",1,1,1,"25392410","RaftProt"
"Ministry of Science and Higher Education of the Russian Federation",1,1,1,"33231677","GTRD"
"University of Lille 1",1,1,1,"29082924","Norine"
"Inria-Lille Nord Europe",1,1,1,"29082924","Norine"
"bilille plateform",1,1,1,"29082924","Norine"
"The National Institutes of Health",3,1,1,"21520341","dbNSFP"
"China 863 Program",1,1,1,"32406920","AnnoLnc"
"State Key Laboratory of Protein and Plant Gene Research",1,1,1,"32406920","AnnoLnc"
"Beijing Advanced Innovation Center for Genomics",1,1,1,"32406920","AnnoLnc"
"National Program for Support of Top-notch Young Professionals",1,1,1,"32406920","AnnoLnc"
"Det Frie Forskningsråd",1,1,1,"28280852","TANTIGEN"
"ISCIII-FEDER",3,1,1,"31680165","DisGeNET"
"ISCIII",1,1,1,"31680165","DisGeNET"
"Research Programme on Biomedical Informatics",1,1,1,"31680165","DisGeNET"
"EU H2020 Programme",1,1,1,"31680165","DisGeNET"
"IMI-JU",1,1,1,"31680165","DisGeNET"
"EU-FP7",1,1,1,"31680165","DisGeNET"
"Agència de Gestió d’Ajuts Universitaris i de Recerca Generalitat de Catalunya",1,1,1,"31680165","DisGeNET"
"Spanish National Bioinformatics Institute",1,1,1,"31680165","DisGeNET"
"MRC",2,2,2,"33180112, 27450113","Europe PMC, PDB"
"France Genomique",1,1,1,"28968784","MicroScope"
"Institut Francais De Boinformatique",1,1,1,"28968784","MicroScope"
"Spanish Ministry of Science",1,1,1,"31740968","SEVA-DB"
"ELIXIR-IIB",1,1,1,"31665520","SIGNOR"
"Italian Node of the European ELIXIR infrastructure",1,1,1,"31665520","SIGNOR"
"Postdoctoral Fellows of the Research Foundation-Flanders",1,1,1,"30485709","sORFs.org"
"national human genome research institute",2,1,1,"34698891","MGI"
"USDA-AFRI",1,1,1,"30407520","QTLdb"
"National Animal Genome Research",1,1,1,"30407520","QTLdb"
"Directorate for Biological Sciences",1,1,1,"28891124","DOCKGROUND"
"NASA",1,1,1,"30329036","GeneLab"
"GeneLab Project",1,1,1,"30329036","GeneLab"
"SLPSRA",1,1,1,"30329036","GeneLab"
"Division of Space Life and Physical Sciences Research and Applications",1,1,1,"30329036","GeneLab"
"Ames Research Center",1,1,1,"30329036","GeneLab"
"NASA’s Space Biology Program",1,1,1,"30329036","GeneLab"
"Alliance of International Science Organizations",1,1,1,"33704069","2019nCoVR"
"KC Wong Education Foundation",1,1,1,"33704069","2019nCoVR"
"Reactome database project",2,1,1,"28713666","Gramene"
"Gramene database award",1,1,1,"28713666","Gramene"
"UK-Japan Partnership",1,1,1,"30395289","PRIDE"
"Thor Industries",1,1,1,"30395289","PRIDE"
"Innovative Medicines Initiative Joint Undertaking",1,1,1,"30398643","ChEMBL"
"European Union Seventh Framework Programme",2,1,1,"30398643","ChEMBL"
"European Molecular Biology Laboratory Core Funds",1,1,1,"33125078","Pfam"
"European Union&apos;s Horizon 2020 MSCA-RISE action",1,1,1,"33125078","Pfam"
"ROIS-DS-JOINT 2019",1,1,1,"33211864","FANTOM5"
"RIKEN Center for Life Science Technology",1,1,1,"33211864","FANTOM5"
"RIKEN",1,1,1,"33211864","FANTOM5"
"Carl Zeiss Foundation",1,1,1,"33211869","Rfam"
"Department of Biotechnology , Ministry of Science and Technology",1,1,1,"27139435","NetPath"
"Qatar Foundation",1,1,1,"31290545","GXB"
"EU",2,2,2,"27450113, 33170273","PDB, Gramene"
"DOE",1,1,1,"27450113","PDB"
"Gene Regulation Ensemble Effort for the Knowledge Commons",1,1,1,"30395331","GOC"
"Parkinson&apos;s UK",1,1,1,"30395331","GOC"
"University College London",1,1,1,"30395331","GOC"
"China Medical University",1,1,1,"31701128","DriverDB"
"Ramón y Cajal Programme",1,1,1,"30418610","eggNOG"
"Hungarian National Research",1,1,1,"31680160","ELM"
